,Symbol,CA,Today,Open,High,Low,LTP,Chng,% Chng,Volume (lacs),Turnover (crs.),52w H,52w L,Past 365 Days,365 d % chng,Past 30 Days,30 d % chng
0,NIFTY 50,,,9067.9,9149.6,8968.55,9005.8,-100.45,-1.1,4039.26,17845.65,12430.5,7511.1,,-23.28,,0.27
1,ZEEL,,,153.6,161.65,152.0,158.95,5.0,3.25,189.81,302.0,405.2,114.0,,-53.55,,22.98
2,INFY,,,675.0,694.5,673.5,690.0,17.8,2.65,77.65,533.39,847.0,509.25,,-2.78,,8.97
3,ASIANPAINT,,,1568.8,1622.4,1555.4,1615.9,41.6,2.64,33.38,532.82,1916.7,1291.25,,18.08,,-6.38
4,INFRATEL,,,202.0,212.55,200.05,211.1,5.25,2.55,69.26,143.48,296.5,120.05,,-21.63,,29.47
5,BPCL,,,311.0,320.3,307.25,316.65,3.45,1.1,40.33,126.61,549.0,252.0,,-17.59,,-10.87
6,TCS,,,1977.1,2012.5,1961.25,2009.0,17.8,0.89,19.9,396.79,2296.2,1506.05,,-3.49,,15.62
7,BRITANNIA,,,3104.0,3153.0,3080.0,3136.4,25.45,0.82,2.76,86.4,3583.75,2100.0,,9.95,,9.54
8,TECHM,,,517.1,527.95,515.1,524.0,3.95,0.76,17.97,94.23,845.9,471.4,,-30.13,,2.15
9,UPL,,,366.75,373.25,362.7,367.8,1.0,0.27,42.95,158.45,709.05,240.15,,-63.75,,6.32
10,HINDUNILVR,,,1975.0,1985.0,1958.0,1975.8,4.9,0.25,22.21,438.11,2614.3,1659.05,,11.73,,-14.74
11,ULTRACEMCO,,,3550.0,3668.0,3530.0,3579.0,7.5,0.21,6.95,250.86,4904.95,2910.0,,-22.99,,5.16
12,HEROMOTOCO,,,2119.0,2147.9,2083.85,2121.05,1.55,0.07,13.54,286.72,3022.9,1475.0,,-21.43,,16.06
13,SHREECEM,,,19019.0,19474.2,18803.2,19253.95,2.8,0.01,0.34,65.62,25355.0,15410.0,,-4.72,,2.26
14,LT,,,815.0,822.85,810.1,820.5,0.0,0.0,21.01,171.52,1607.0,661.0,,-43.84,,-5.73
15,CIPLA,,,616.7,619.65,610.1,616.5,-0.1,-0.02,26.92,165.71,632.65,355.3,,11.48,,4.12
16,DRREDDY,,,3840.6,3893.2,3811.0,3846.0,-1.5,-0.04,5.31,204.28,4132.2,2351.2,,44.71,,-4.24
17,RELIANCE,,,1451.8,1458.0,1435.55,1440.6,-0.65,-0.05,103.98,1505.26,1601.53,866.98,,7.48,,16.43
18,TITAN,,,844.9,855.95,837.9,848.7,-1.15,-0.14,12.16,103.05,1389.95,720.9,,-31.62,,-9.39
19,COALINDIA,,,124.0,124.35,121.9,124.0,-0.5,-0.4,32.7,40.32,271.45,119.2,,-48.6,,-10.79
20,SBIN,,,152.0,155.6,149.45,151.2,-0.75,-0.49,623.55,949.6,373.8,149.45,,-55.67,,-18.16
21,NESTLEIND,,,16296.0,16396.8,16150.0,16209.5,-85.95,-0.53,0.49,80.27,18369.95,10592.3,,51.48,,-4.74
22,WIPRO,,,189.05,190.85,186.45,188.05,-1.05,-0.56,29.62,55.91,301.6,159.4,,-33.57,,5.62
23,M&M,,,404.0,407.9,398.7,406.0,-2.3,-0.56,18.71,75.65,683.0,245.4,,-36.62,,22.27
24,SUNPHARMA,,,467.0,471.9,458.05,463.75,-2.7,-0.58,48.99,227.91,504.8,312.0,,10.1,,-1.99
25,HCLTECH,,,533.65,533.65,523.0,531.7,-3.15,-0.59,43.67,230.77,623.5,375.25,,-49.89,,16.68
26,IOC,,,73.75,74.6,72.8,74.0,-0.45,-0.6,60.03,44.26,170.75,71.15,,-52.4,,-10.84
27,BHARTIARTL,,,597.0,597.4,587.0,588.45,-6.1,-1.03,63.85,377.66,612.0,321.15,,75.58,,17.57
28,NTPC,,,89.9,90.15,88.35,89.25,-1.0,-1.11,41.45,36.89,145.85,73.2,,-31.13,,-8.27
29,GRASIM,,,523.9,533.95,513.1,521.05,-5.9,-1.12,10.03,52.5,959.8,385.05,,-39.23,,2.26
30,VEDL,,,90.0,90.4,88.6,89.05,-1.15,-1.27,82.96,74.11,180.0,60.2,,-46.45,,13.51
